SubHead,AVP,APV,Key,Diff,DiffAbs,Count
whakatinana,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
whakatipu,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
whakatutuki,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakatutū,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakatuwhera,0.0007246853111796949,-0.0006617648500390172,6.292046114067778e-05,0.001386450161218712,0.001386450161218712,20.0
whakatā,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
whakatō,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
whakatū,-0.0037403342734114438,0.005977267642755872,0.002236933369344428,-0.009717601916167315,0.009717601916167315,26.0
whakauru,-0.0026802794228730172,0.007342696269582911,0.004662416846709894,-0.010022975692455928,0.010022975692455928,12.0
whakautu,-0.0026802794228730172,0.007342696269582911,0.004662416846709894,-0.010022975692455928,0.010022975692455928,12.0
whakawaiwai,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakawhiti,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakawā,0.004000351392512274,-0.0021918136591396937,0.00180853773337258,0.006192165051651967,0.006192165051651967,14.0
whakawātea,0.018774507013186455,-0.0032145786142796476,0.015559928398906808,0.021989085627466102,0.021989085627466102,18.0
whakawāwā,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
whao,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
whati,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whawhai,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whiriwhiri,0.015184715247746046,-0.0029713520339071115,0.012213363213838934,0.018156067281653157,0.018156067281653157,16.0
whiu,-0.0018793220360484293,0.007722678530647098,0.0058433564945986685,-0.009602000566695527,0.009602000566695527,8.0
whiwhi,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whoatu,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whāki,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
whānako,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
