Predecessor,mā,nā,Key,Diff,DiffAbs,Count
whakapae,-0.006274942487139521,0.03871773023979704,0.03244278775265752,-0.044992672726936564,0.044992672726936564,14.0
whakarite,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
whakataetae,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
whare,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
whenua,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
wherawhera,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
whā,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
whāngai,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
wiki,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
wā,-0.00019292311753383527,0.00019839611377592988,5.472996242094616e-06,-0.0003913192313097652,0.0003913192313097652,8.0
wāhanga,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
wāriu,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
āhei,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
