Head,mā,nā,AE
kaiwaiata,0.0018779342723004694,0.00101010101010101,0.00145985401459854
kaiārahi,0.0009389671361502347,0.00202020202020202,0.00145985401459854
karakia,0.0018779342723004694,0.00101010101010101,0.00145985401459854
karani,0.0009389671361502347,0.00202020202020202,0.00145985401459854
kaute,0.0018779342723004694,0.00101010101010101,0.00145985401459854
kino,0.0009389671361502347,0.00202020202020202,0.00145985401459854
kiore,0.0018779342723004694,0.00101010101010101,0.00145985401459854
kiri,0.0018779342723004694,0.00101010101010101,0.00145985401459854
konei,0.0018779342723004694,0.00101010101010101,0.00145985401459854
kooti,0.0009389671361502347,0.00202020202020202,0.00145985401459854
koporeihana,0.0018779342723004694,0.00101010101010101,0.00145985401459854
koro,0.0018779342723004694,0.00101010101010101,0.00145985401459854
kotahi,0.0009389671361502347,0.00202020202020202,0.00145985401459854
kuratini,0.0018779342723004694,0.00101010101010101,0.00145985401459854
kurī,0.0009389671361502347,0.00202020202020202,0.00145985401459854
kākano,0.0018779342723004694,0.00101010101010101,0.00145985401459854
kōmihana,0.0018779342723004694,0.00101010101010101,0.00145985401459854
kūare,0.0009389671361502347,0.00202020202020202,0.00145985401459854
ihu,0.0018779342723004694,0.00101010101010101,0.00145985401459854
hōne,0.0009389671361502347,0.00202020202020202,0.00145985401459854
hīkoi,0.0018779342723004694,0.00101010101010101,0.00145985401459854
gee,0.0009389671361502347,0.00202020202020202,0.00145985401459854
ahau,0.0009389671361502347,0.00202020202020202,0.00145985401459854
all,0.0009389671361502347,0.00202020202020202,0.00145985401459854
anahera,0.0009389671361502347,0.00202020202020202,0.00145985401459854
apa-nui,0.0009389671361502347,0.00202020202020202,0.00145985401459854
